"id","setor","subSetor","empName","ultBal","codigo","roic","cresRec5a","nAcoes","divBruta","disponib","ativCirc","ativos","patLiq","recLiq12m","ebit12m","LucLiq12m","recLiq3m","ebit3m","LucLiq3m","ultInsert","ultAt"
"12","Siderurgia e Metalurgia",,"CSN ON","2022-03-31","CSNA3","33.3","25.3","1326090000","30884100000","15729900000","31829500000","75148000000","21883300000","47768600000","17832900000","8225010000","11769900000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"13","Químicos",,"BRASKEM PNB N1","2022-03-31","BRKM6","39.7","19.2","797208000","31039000000","12190300000","39757800000","86931400000","11598700000","109664000000","24894000000","15374600000","26731400000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"14","Construção Civil",,"CYRELA BRAZIL REALTY PN","2022-03-31","CYRE3","6.9","17.3","399743000","3670950000","2160850000","7981630000","14217100000","6357090000","5018750000","809501000","883823000","1231650000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"15","Energia Elétrica",,"TRANSMISSÃO PAULISTA PN N1","2022-03-31","TRPL4","14","18.3","658883000","7806850000","1199240000","4054690000","30008400000","14896500000","5806170000","4024640000","2979050000","1360060000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"16","Energia Elétrica",,"CELESC PN N2","2022-03-31","CLSC4","8","11","38572000","2587500000","1707400000","4783760000","12919100000","2846530000","11495000000","827952000","623877000","2677150000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"17","Exploração de Imóveis",,"BR MALLS PARTICIPAÇÔES S/A ON","2022-03-31","BRML3","4.2","-3.5","828274000","3954990000","1443810000","1891300000","19521100000","10844300000","1226090000","751266000","202531000","325514000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"18","Petróleo, Gás e Biocombustíveis",,"ENAUTA PART ON","2022-03-31","ENAT3","22.7","33.6","265807000","589307000","2383570000","2882900000","6112670000","3984900000","2253820000","751862000","1362120000","629606000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"19","Madeira e Papel",,"EUCATEX PN","2022-03-31","EUCA4","16.3","20.2","92619000","492198000","71930000","1184970000","3446360000","1962860000","2517720000","511586000","513344000","597794000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"20","Serviços Financeiros Diversos",,"GP INVESTMENTS, LTD DR3","2022-03-31","GPIV33","36.4","13.5","79209500","96661000","808923000","838739000","3624960000","1741200000","1185710000","1020710000","709805000","309072000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"21","Siderurgia e Metalurgia",,"PANATLANTICA PN","2022-03-31","PATI4","21.8","32","23932000","731774000","619535000","1797420000","2072290000","841030000","2711810000","232509000","197849000","645264000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"22","Outros",,"ATOMPAR ON","2022-03-31","ATOM3","58.5","58.1","23805000","1","18256000","35705000","36472000","24467000","33698000","10573000","10408000","16299000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"23","Diversos",,"OCALIZA RENT A CAR ON","2022-03-31","RENT3","17.7","12.7","758467000","13893800000","5743550000","7876230000","26733800000","8036630000","10815900000","3460300000","2078840000","2711650000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"24","Construção e Engenharia",,"SONDOTECNICA S/A. PNA","2022-03-31","SOND5","29.3","16.9","2458000","1","30861000","53384000","92337000","65022000","95577000","17898000","14102000","29847000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"25","Bancos",,"ITAÚSA PN N1","2022-06-30","ITSA4","1.6","15.3","8831360000","10154000000","5017000000","10184000000","89066000000","67498000000","8773000000","1348000000","13274000000","2214000000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"26","Construção Civil",,"CYRELA BRAZIL REALTY PN","2022-06-30","CYRE3","5.9","17","399743000","4042170000","2397790000","8080340000","14743300000","6484400000","5086820000","717965000","767647000","1250080000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"27","Construção e Engenharia",,"SONDOTECNICA S/A. PNA","2022-06-30","SOND5","30.1","19.8","2458000","2181000","25468000","44255000","85469000","54629000","103279000","17761000","15759000","25859000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"28","Diversos",,"OCALIZA RENT A CAR ON","2022-06-30","RENT3","17.5","12.5","981166000","15717000000","6525850000","9032820000","30424000000","8381750000","11169600000","3668560000","2088270000","3049430000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"29","Energia Elétrica",,"TRANSMISSÃO PAULISTA PN N1","2022-06-30","TRPL4","12.9","20.6","658883000","7991870000","1082330000","4220090000","31193100000","15601500000","5961070000","3864960000","2828750000","1666030000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"30","Energia Elétrica",,"CELESC PN N2","2022-06-30","CLSC4","8.7","10.8","38572000","2562990000","1272250000","3568650000","11704300000","2899180000","11449600000","827029000","624891000","2365670000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"31","Exploração de Imóveis",,"CIA HABITASUL PNA","2022-06-30","HBTS5","6.2","85.7","9133690","245482000","49656000","150935000","1375560000","487064000","189695000","82334000","133931000","36642000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"32","Exploração de Imóveis",,"BR MALLS PARTICIPAÇÔES S/A ON","2022-06-30","BRML3","4.9","1.4","828274000","3536220000","1279250000","1677920000","18379400000","10976700000","1309990000","836283000","471811000","334732000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"33","Madeira e Papel",,"EUCATEX PN","2022-06-30","EUCA4","15","20.8","92619000","553334000","67864000","1256460000","3546490000","2014710000","2562400000","484071000","390971000","600949000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"34","Máquinas e Equipamentos",,"METISA PN","2022-06-30","MTSA4","24.1","29.2","8789730","79720600","94753900","440842000","547048000","350264000","725561000","97790500","68370800","225210000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"35","Máquinas e Equipamentos",,"KEPLER WEBER SA ON","2022-06-30","KEPL3","43.4","28","89860000","162225000","270482000","874726000","1245670000","554396000","1545010000","378316000","279412000","360074000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"36","Máquinas e Equipamentos",,"WEG SA ON N1","2022-06-30","WEGE3","22.8","26.1","4197320000","2853830000","3072450000","17567000000","25882400000","13413900000","26752100000","4680650000","3543840000","7185790000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"37","Outros",,"ATOMPAR ON","2022-06-30","ATOM3","72.3","42.9","23805000","1","20638000","35113000","35889000","25629000","33773000","10895000","9308000","7762000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"38","Petróleo, Gás e Biocombustíveis",,"ENAUTA PART ON","2022-06-30","ENAT3","22.8","36.8","265807000","648374000","1640520000","2335570000","5992810000","3922410000","2626210000","950701000","1007040000","721776000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"39","Petróleo, Gás e Biocombustíveis",,"PETROBRAS PN","2022-06-30","PETR4","29.5","13.1","13044500000","280637000000","100268000000","224785000000","1004750000000","410545000000","568385000000","258444000000","161537000000","170960000000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"40","Químicos",,"CRISTAL PNB","2022-06-30","CRPG6","13.5","13.3","29019000","3451000","140510000","657824000","1137120000","883619000","931319000","126104000","145876000","221184000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"41","Químicos",,"BRASKEM PNB N1","2022-06-30","BRKM6","28.9","20.5","797208000","34238400000","13353000000","39893400000","91769400000","9469270000","108654000000","19017200000","6544940000","25411300000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"42","Serviços Financeiros Diversos",,"GP INVESTMENTS, LTD DR3","2022-06-30","GPIV33","-13.3","56.9","79209500","105085000","751684000","800686000","3180380000","1407580000","-151336000","-319812000","-40157000","-735378000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"43","Siderurgia e Metalurgia",,"CSN ON","2022-06-30","CSNA3","23.4","23.1","1326090000","34751500000","16552500000","31779600000","76839100000","21265500000","42942900000","12732700000","3456570000","10565900000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"44","Siderurgia e Metalurgia",,"TEKNO PN","2022-06-30","TKNO4","17","28.5","2948000","10433000","38783000","208980000","351252000","254826000","338029000","46165000","68702000","88180000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"45","Siderurgia e Metalurgia",,"PANATLANTICA PN","2022-06-30","PATI4","11.2","32","23932000","733102000","605639000","1723470000","2013330000","890802000","2581590000","127132000","158192000","631673000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"46","Siderurgia e Metalurgia",,"METALÚRGICA GERDAU PN N1","2022-06-30","GOAU4","33.9","19.5","1087240000","12444800000","8395460000","37420200000","78352300000","16259200000","86170900000","20506900000","5504360000","22968400000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"47","Siderurgia e Metalurgia",,"USIMINAS PNA N1","2022-06-30","USIM5","24.7","29.8","1253080000","6047570000","5596690000","21527100000","41280600000","23788600000","33451000000","7798940000","6051360000","8531460000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"48","Tecidos, Vestuário e Calçados",,"SANTANENSE PN","2022-06-30","CTSA4","2.5","7.3","111299000","190204000","32763000","213852000","641258000","289183000","541162000","13566000","-6163000","98720000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"121","Alimentos Processados","Alimentos Diversos","CAMIL ON NM","2022-08-31","CAML3","9.5","22.8","360000000","4023460000","1438090000","5182250000","8511150000","2892640000","9633300000","569963000","453781000","2696510000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"199","Diversos","Aluguel de carros","LOCAMERICA ON NM","2022-06-30","LCAM3","13.5","38.6","508729000","11794400000","2136170000","7473930000","21368300000","4965670000","7118600000","2206880000","705404000","2077070000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"218","Energia Elétrica","Energia Elétrica","CESP CIA ENERGETICA SAO PAULO PNB","2022-03-31","CESP6","8.7","11.5","327503000","2032240000","601783000","1157960000","14406000000","7583450000","2316980000","1188300000","324915000","581048000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"285","Construção e Engenharia","Engenharia Consultiva","TECNOSOLO S/A PN","2022-06-30","TCNO4","-1.6","-32.4","6620000","33829000","7000","39894000","236846000","-946000","0","-2764000","-1167000","0",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"297","Máquinas e Equipamentos","Máq. e Equip. Industriais","Metalfrio ON NM","2022-03-31","FRIO3","12","16.1","4107000","1307190000","210087000","1265930000","1828980000","-223039000","2081130000","135432000","-61411000","502794000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"313","Tecidos, Vestuário e Calçados","Fios e Tecidos","COTEMINAS PN","2022-06-30","CTNM4","0.5","-0.4","30636000","1502850000","352427000","1689550000","4023780000","614624000","1983890000","15605000","-186345000","383544000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"328","Exploração de Imóveis","Exploração de Imóveis","GRADIENTE ON","2022-06-30","IGBR3","-34.4","11.5","1250000","352053000","1005000","7800000","117425000","-1066080000","6703000","-38554000","-40079000","2059000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"357","Transporte","Transporte Ferroviário","MRS LOGÍSTICA S/A PNB MB","2022-09-30","MRSA6B","11.8","9.7","340000000","4491270000","1468490000","2437360000","14517800000","5477760000","5190490000","1487910000","696318000","1574900000","582474000","322757000","2023-01-14 15:10:21","2023-01-14 15:10:21"
"358","Energia Elétrica","Energia Elétrica","CEMAR ON MB","2022-09-30","EQMA3B","17.3","9.5","164184000","2176340000","776745000","2412780000","7923740000","3161970000","5080380000","1146980000","593683000","1208350000","215365000","92948000","2023-01-14 15:10:45","2023-01-14 15:10:45"
"359","Energia Elétrica","Energia Elétrica","ELETROBRÁS PNB","2022-09-30","ELET6","2.6","5","2301230000","55270100000","19398300000","43516700000","266506000000","111495000000","37562300000","6363140000","4693710000","8033010000","656255000","0","2023-01-14 15:10:55","2023-01-14 15:10:55"
"360","Energia Elétrica","Energia Elétrica","CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA PNB","2022-09-30","CEBR6","22.2","-43.3","72082000","0","514814000","696040000","1349980000","962556000","395343000","181688000","195382000","80425000","29217000","35601000","2023-01-14 15:11:07","2023-01-14 15:11:07"
"361","Químicos","Químicos Diversos","UNIPAR PARTICIPAÇÕES S.A. PNB","2022-09-30","UNIP6","64.9","25.5","103876000","1431130000","1622980000","3083690000","6454800000","2818630000","7853790000","2915040000","1861770000","1942820000","596844000","197841000","2023-01-14 15:11:15","2023-01-14 15:11:15"
"362","Energia Elétrica","Energia Elétrica","COSERN PNB","2022-09-30","CSRN6","16.6","14.9","168074000","2937000000","599000000","1657000000","5648000000","1274000000","3525000000","790000000","523000000","825000000","148000000","101000000","2023-01-14 15:11:19","2023-01-14 15:11:19"
"363","Químicos","Petroquímicos","BRASKEM PNB N1","2022-09-30","BRKM6","19.8","20.3","797208000","35841400000","14229000000","38431100000","92208900000","8689360000","105742000000","12896900000","1905140000","25386800000","923898000","0","2023-01-14 15:11:21","2023-01-14 15:11:21"
"364","Siderurgia e Metalurgia","Siderurgia","USIMINAS PNB N1","2022-09-30","USIM6","17.3","29.2","1253080000","6097210000","5137300000","20769100000","40916100000","24292200000","32859700000","5702480000","5006150000","8434430000","724375000","517002000","2023-01-14 15:11:23","2023-01-14 15:11:23"
"365","Químicos","Químicos Diversos","CRISTAL PNB","2022-09-30","CRPG6","9.7","12.6","29019000","11407000","166862000","682188000","1173440000","911266000","912364000","91871000","105905000","216086000","18985000","28437000","2023-01-14 15:11:31","2023-01-14 15:11:31"
"366","Energia Elétrica","Energia Elétrica","CELPE PNB","2022-09-30","CEPE6","8.9","14.6","74612000","7668000000","1258000000","4005000000","13434000000","1420000000","7989000000","1021000000","83000000","1873000000","153000000","0","2023-01-14 15:11:33","2023-01-14 15:11:33"
"367","Energia Elétrica","Energia Elétrica","COPEL PNB","2022-09-30","CPLE6","8.6","12.9","2736550000","13336800000","4329480000","10663400000","49854100000","20969700000","22894700000","3719000000","878368000","5454720000","820568000","362912000","2023-01-14 15:11:35","2023-01-14 15:11:35"
"368","Previdência e Seguros","Seguradoras","CONSORCIO ALFA PNB","2022-09-30","BRGE6","-35.5","-40.3","73646000","0","1391210000","1984500000","3332620000","1290420000","3986000","-690114000","78529000","963000","-200011000","52037000","2023-01-14 15:11:39","2023-01-14 15:11:39"
"369","Construção e Engenharia","Engenharia Consultiva","SONDOTECNICA S/A. PNB","2022-09-30","SOND6","41.4","22.6","2458000","0","29921000","51945000","90778000","57907000","120717000","24646000","16394000","37651000","10280000","5482000","2023-01-14 15:11:42","2023-01-14 15:11:42"
"370","Intermediários Financeiros","Bancos","ALFA HOLDINGS PNB","2022-09-30","RPAD6","-0.4","-31.3","84682000","0","65473000","66933000","1076700000","1072040000","0","-4271000","62961000","0","-1059000","41358000","2023-01-14 15:11:45","2023-01-14 15:11:45"
"371","Viagens e Lazer","Produção de Eventos e Shows","PARQUE ANHEMBI PNB","2022-09-30","AHEB6","-3.5","25.7","8544000","4051000","3242000","74583000","290088000","-80875000","208324000","-9260000","-33104000","37431000","-11642000","0","2023-01-14 15:11:50","2023-01-14 15:11:50"
"372","Energia Elétrica","Energia Elétrica","EQTL PARA PNB","2022-09-30","EQPA6","23.8","13.1","2209070000","4234360000","1934190000","4691950000","12708400000","4349990000","8641970000","2340600000","1383290000","2060660000","492615000","368115000","2023-01-14 15:11:52","2023-01-14 15:11:52"
"373","Materiais Diversos","Materiais Diversos","SANSUY S.A. INDÚSTRIA DE PLÁSTICOS PNA","2022-09-30","SNSY5","-5.3","20","7716000","127482000","6004000","272043000","462610000","-1607740000","821641000","-20614000","-170705000","226458000","-1097000","0","2023-01-14 15:11:54","2023-01-14 15:11:54"
"374","Exploração de Imóveis","Exploração de Imóveis","CIA HABITASUL PNA","2022-09-30","HBTS5","5.1","104.4","9133690","256152000","59862000","153357000","1396360000","499826000","163110000","67902000","11080000","35117000","12192000","18045000","2023-01-14 15:12:05","2023-01-14 15:12:05"
"375","Gás","Gás","COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS PNAS","2022-09-30","CGAS5","28.5","22.8","132521000","6728190000","1481160000","5391910000","12955800000","1663730000","16453100000","2783260000","1714000000","4964420000","750568000","455361000","2023-01-14 15:12:06","2023-01-14 15:12:06"
"376","Energia Elétrica","Energia Elétrica","CIA ENERG CEARA - COELCE PNA","2022-09-30","COCE5","13.8","15.9","77855000","4464020000","300671000","3283560000","12456900000","3710520000","8881720000","1475350000","518858000","2202770000","186264000","80358000","2023-01-14 15:12:42","2023-01-14 15:12:42"
"377","Energia Elétrica","Energia Elétrica","COELBA PNA","2022-09-30","CEEB5","14.3","17.2","262096000","13733000000","1373000000","6040000000","26015000000","5601000000","14313000000","3367000000","1611000000","3324000000","538000000","195000000","2023-01-14 15:12:51","2023-01-14 15:12:51"
"378","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","RAIZEN PN N2","2022-09-30","RAIZ4","5.2","53.2","10352500000","45015300000","6655460000","51853200000","105686000000","21793200000","239379000000","4287460000","1307580000","64238200000","254702000","0","2023-01-14 15:12:55","2023-01-14 15:12:55"
"379","Tecidos, Vestuário e Calçados","Fios e Tecidos","RENAUX PN","2022-09-30","TXRX4","17.2","23.3","4259000","312318000","110000","136601000","254574000","-329828000","201470000","31338000","-18749000","60205000","11818000","8817000","2023-01-14 15:12:59","2023-01-14 15:12:59"
"380","Energia Elétrica","Energia Elétrica","RENOVA PN N2","2022-09-30","RNEW4","-3.5","-32.8","244148000","974377000","80197000","255239000","2010070000","160679000","172565000","-65950000","187057000","62788000","-403000","0","2023-01-14 15:13:03","2023-01-14 15:13:03"
"381","Construção e Engenharia","Construção Pesada","AZEVEDO & TRAVASSOS PN","2022-09-30","AZEV4","-16.2","85.6","77180000","46778000","15994000","161260000","495858000","124647000","322678000","-72222000","11573000","110476000","-45365000","0","2023-01-14 15:13:08","2023-01-14 15:13:08"
"382","Siderurgia e Metalurgia","Siderurgia","METALÚRGICA GERDAU PN N1","2022-09-30","GOAU4","30.3","20.1","1033840000","12855600000","9041540000","38044100000","80267100000","16695000000","86003100000","18799400000","4701090000","21149200000","4179840000","1007090000","2023-01-14 15:13:14","2023-01-14 15:13:14"
"383","Material de Transporte","Material Rodoviário","RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES PN N1","2022-09-30","RAPT4","16","28.9","329331000","5107990000","2354180000","7670810000","11976900000","2771960000","10849000000","1363060000","535444000","3055830000","388163000","147679000","2023-01-14 15:13:21","2023-01-14 15:13:21"
"384","Hoteis e Restaurantes","Hotelaria","HOTEIS OTHON S.A. PN","2022-09-30","HOOT4","-32.5","-10.5","18372000","974000","7571000","40669000","507131000","-335350000","89041000","-157233000","118458000","24897000","2928000","16799000","2023-01-14 15:13:25","2023-01-14 15:13:25"
"385","Tecidos, Vestuário e Calçados","Fios e Tecidos","PETTENATI PN","2022-09-30","PTNT4","9","15.4","48046500","252885000","114664000","476129000","872869000","353213000","870085000","59368000","69797500","226142000","17588000","11543200","2023-01-14 15:13:26","2023-01-14 15:13:26"
"386","Energia Elétrica","Energia Elétrica","ENERGISA MT ON","2022-09-30","ENMT4","18.4","16.1","218942000","4703880000","608288000","3262960000","11717600000","3395870000","7460510000","1956270000","1211500000","1742680000","418842000","223845000","2023-01-14 15:13:27","2023-01-14 15:13:27"
"387","Máquinas e Equipamentos","Máq. e Equip. Industriais","ELECTRO AÇO ALTONA S/A PN","2022-09-30","EALT4","11.4","17.7","22500000","128135000","9549000","200341000","523098000","204685000","486544000","53933000","43200000","123208000","11684000","6944000","2023-01-14 15:13:30","2023-01-14 15:13:30"
"388","Material de Transporte","Material Rodoviário","WETZEL S.A. PN","2022-09-30","MWET4","3.8","15.7","2058000","69318000","156000","123716000","265229000","-22427000","280169000","9002000","25592000","81838000","6486000","30280000","2023-01-14 15:13:34","2023-01-14 15:13:34"
"389","Viagens e Lazer","Brinquedos e Jogos","ESTRELA PN","2022-09-30","ESTR4","6.2","10","808000","100531000","529000","181637000","305652000","-489405000","189059000","17613000","-13862000","73558000","14061000","0","2023-01-14 15:13:54","2023-01-14 15:13:54"
"390","Energia Elétrica","Energia Elétrica","ELEKTRO ELETRICIDADE E SERVIÇOS S.A. PN","2022-09-30","EKTR4","22.8","11.8","193759000","5110000000","978000000","3415000000","10348000000","3041000000","8570000000","1976000000","1065000000","2004000000","312000000","155000000","2023-01-14 15:13:55","2023-01-14 15:13:55"
"391","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","PETROBRAS PN","2022-09-30","PETR4","32.3","15.4","13044500000","293403000000","36688000000","159327000000","947574000000","372498000000","616867000000","285147000000","176491000000","170076000000","78726000000","46096000000","2023-01-14 15:13:57","2023-01-14 15:13:57"
"392","Água e Saneamento","Água e Saneamento","SANEPAR PN","2022-09-30","SAPR4","14","7.7","1511210000","4909240000","1227490000","2416480000","16167300000","8408830000","5581610000","2052300000","1132560000","1432460000","544925000","274928000","2023-01-14 15:14:05","2023-01-14 15:14:05"
"393","Produtos de Uso Pessoal e de Limpeza","Produtos de Limpeza","BOMBRIL SA PN","2022-09-30","BOBR4","19","5.8","260510000","367868000","59395000","426305000","904491000","-179288000","1400870000","113561000","-64460000","387148000","51829000","15714000","2023-01-14 15:14:12","2023-01-14 15:14:12"
"394","Telecomunicações","Telecomunicações","OI ON N1","2022-09-30","OIBR4","-11.2","-30.6","660304000","21945300000","3579880000","13608400000","48830300000","-2283720000","11603100000","-4590960000","-3407580000","2770060000","-1006350000","0","2023-01-14 15:14:15","2023-01-14 15:14:15"
"395","Siderurgia e Metalurgia","Siderurgia","GERDAU S.A. PN N1","2022-09-30","GGBR4","30.3","20.1","1673400000","12855600000","8590130000","37557600000","79772300000","49188200000","86003100000","18811900000","13766300000","21149200000","4182780000","3010860000","2023-01-14 15:14:17","2023-01-14 15:14:17"
"396","Químicos","Petroquímicos","DEXXOS PAR PN","2022-09-30","DEXP4","18.7","34.5","94014000","317862000","163807000","839080000","1295430000","555602000","2178340000","200651000","133521000","450119000","26754000","28544000","2023-01-14 15:14:29","2023-01-14 15:14:29"
"397","Energia Elétrica","Energia Elétrica","ALUPAR PN N2","2022-09-30","ALUP4","13.1","27.3","879111000","11061300000","2424970000","5024300000","27384200000","7188600000","4229360000","3238400000","945987000","652659000","444878000","115676000","2023-01-14 15:14:30","2023-01-14 15:14:30"
"398","Máquinas e Equipamentos","Máq. e Equip. Industriais","INEPAR S/A PN","2022-09-30","INEP4","114.5","-20.8","183054000","796950000","1245000","113782000","1326480000","-1444050000","24094000","1445680000","1091480000","2073000","-7869000","0","2023-01-14 15:14:52","2023-01-14 15:14:52"
"399","Siderurgia e Metalurgia","Artefatos de Ferro e Aço","TEKNO PN","2022-09-30","TKNO4","14.6","28.9","2948000","2873000","41875000","224915000","374534000","264665000","327107000","41246000","52175000","81962000","10921000","13176000","2023-01-14 15:15:03","2023-01-14 15:15:03"
"400","Material de Transporte","Material Rodoviário","MARCOPOLO PN N2","2022-09-30","POMO4","3","2","946893000","2389640000","949655000","4049800000","7336510000","3045390000","4710880000","168796000","259700000","1516290000","94853000","59114000","2023-01-14 15:15:06","2023-01-14 15:15:06"
"401","Tecidos, Vestuário e Calçados","Fios e Tecidos","CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA PN","2022-09-30","CEDO4","7.3","17.4","10000000","248723000","19631000","510531000","934616000","117761000","1210890000","52807000","-20965000","350858000","32046000","14956000","2023-01-14 15:15:12","2023-01-14 15:15:12"
"402","Tecidos, Vestuário e Calçados","Vestuário","TRACK FIELD PN","2022-09-30","TFCO4","28.3","32","159718000","88827000","53347000","374537000","517058000","317938000","533773000","120160000","96803000","138147000","29300000","24485000","2023-01-14 15:15:13","2023-01-14 15:15:13"
